number,film,release_date,run_time,film_rating,rotten_tomatoes,metacritic,cinema_score,critics_choice,budget,box_office_us_canada,box_office_other,box_office_worldwide,year,profit_margin
2,A Bug's Life,1998-11-25,95.0,G,92.0,77.0,A,,120.0,162.8,200.5,363.3,1998,243.3
13,Brave,2012-06-22,93.0,PG,78.0,69.0,A,81.0,185.0,237.3,301.7,539.0,2012,354.0
7,Cars,2006-06-09,117.0,G,74.0,73.0,A,89.0,120.0,244.1,217.9,462.0,2006,342.0
12,Cars 2,2011-06-24,106.0,G,40.0,57.0,A-,67.0,200.0,191.5,368.4,559.9,2011,359.9
18,Cars 3,2017-06-16,102.0,G,69.0,59.0,A,66.0,175.0,152.9,231.0,383.9,2017,208.89999999999998
19,Coco,2017-11-22,105.0,PG,97.0,81.0,A+,89.0,175.0,210.5,604.2,814.6,2017,639.6
17,Finding Dory,2016-06-17,97.0,PG,94.0,77.0,A,89.0,200.0,486.3,542.3,1028.6,2016,828.5999999999999
5,Finding Nemo,2003-05-30,100.0,G,99.0,90.0,A+,97.0,94.0,339.7,531.3,871.0,2003,777.0
20,Incredibles 2,2018-06-15,118.0,PG,93.0,80.0,A+,86.0,200.0,608.6,634.2,1242.8,2018,1042.8
15,Inside Out,2015-06-19,95.0,PG,98.0,94.0,A,93.0,175.0,356.5,501.1,857.6,2015,682.6
26,Lightyear,2022-06-17,105.0,PG,74.0,60.0,A-,,200.0,118.3,108.1,226.4,2022,26.400000000000006
24,Luca,2021-06-18,151.0,PG,91.0,71.0,,,200.0,1.3,49.8,51.1,2021,-148.9
14,Monsters University,2013-06-21,104.0,G,80.0,65.0,A,79.0,200.0,268.5,475.1,743.6,2013,543.6
4,"Monsters, Inc.",2001-11-02,92.0,G,96.0,79.0,A+,92.0,115.0,255.9,272.9,528.8,2001,413.79999999999995
22,Onward,2020-03-06,102.0,PG,88.0,61.0,A-,79.0,175.0,61.6,80.4,141.9,2020,-33.099999999999994
8,Ratatouille,2007-06-29,111.0,G,96.0,96.0,A,91.0,150.0,206.4,417.3,623.7,2007,473.70000000000005
23,Soul,2020-12-25,100.0,PG,96.0,83.0,,93.0,150.0,0.9,121.0,121.9,2020,-28.099999999999994
16,The Good Dinosaur,2015-11-25,93.0,PG,76.0,66.0,A,75.0,175.0,123.1,209.1,332.2,2015,157.2
6,The Incredibles,2004-11-05,115.0,PG,97.0,90.0,A+,88.0,92.0,261.4,370.0,631.4,2004,539.4
1,Toy Story,1995-11-22,81.0,G,100.0,95.0,A,,30.0,223.2,171.2,394.4,1995,364.4
3,Toy Story 2,1999-11-24,92.0,G,100.0,88.0,A+,100.0,90.0,245.9,265.5,511.4,1999,421.4
11,Toy Story 3,2010-06-18,103.0,G,98.0,92.0,A,97.0,200.0,415.0,652.0,1067.0,2010,867.0
21,Toy Story 4,2019-06-21,100.0,G,97.0,84.0,A,94.0,200.0,434.0,639.4,1073.4,2019,873.4000000000001
25,Turning Red,2022-03-11,100.0,PG,94.0,83.0,,,175.0,1.4,20.4,21.8,2022,-153.2
10,Up,2009-05-29,96.0,PG,98.0,88.0,A+,95.0,175.0,293.0,442.1,735.1,2009,560.1
9,WALL-E,2008-06-27,98.0,G,95.0,95.0,A,90.0,180.0,223.8,297.5,521.3,2008,341.29999999999995
27,Elemental,2023-06-16,155.0,PG,74.0,58.0,A,,200.0,154.4,342.0,496.4,2023,296.4
