number,film,release_date,run_time,film_rating
1,Toy Story,1995-11-22,81.0,G
2,A Bug's Life,1998-11-25,95.0,G
3,Toy Story 2,1999-11-24,92.0,G
4,"Monsters, Inc.",2001-11-02,92.0,G
5,Finding Nemo,2003-05-30,100.0,G
6,The Incredibles,2004-11-05,115.0,PG
7,Cars,2006-06-09,117.0,G
8,Ratatouille,2007-06-29,111.0,G
9,WALL-E,2008-06-27,98.0,G
10,Up,2009-05-29,96.0,PG
11,Toy Story 3,2010-06-18,103.0,G
12,Cars 2,2011-06-24,106.0,G
13,Brave,2012-06-22,93.0,PG
14,Monsters University,2013-06-21,104.0,G
15,Inside Out,2015-06-19,95.0,PG
16,The Good Dinosaur,2015-11-25,93.0,PG
17,Finding Dory,2016-06-17,97.0,PG
18,Cars 3,2017-06-16,102.0,G
19,Coco,2017-11-22,105.0,PG
20,Incredibles 2,2018-06-15,118.0,PG
21,Toy Story 4,2019-06-21,100.0,G
22,Onward,2020-03-06,102.0,PG
23,Soul,2020-12-25,100.0,PG
24,Luca,2021-06-18,151.0,
25,Turning Red,2022-03-11,,
26,Lightyear,2022-06-17,,
27,,2023-06-16,155.0,Not Rated
